cut_conductance,lambda_2,upper_bound
0.0015427107962537768,0.0004370361747552217,0.0004371013922719034
0.0016033226228626995,0.00045420430018958856,0.0004542747431444315
0.0016663158378263248,0.0004720467336417437,0.0004721228207174587
0.0017317840039163608,0.0004905899510168646,0.0004906721344429689
0.0017998243599081506,0.0005098614670667754,0.0005099502353073093
0.0018705379650078083,0.0005298898760947053,0.0005299857567522123
0.0019440298489537672,0.0005507048942519508,0.0005508084572035674
0.0020204091680157024,0.0005723374034874426,0.0005724492642711157
0.0020997893671225116,0.0005948194972097769,0.0005949403206847116
0.0021822883483601802,0.0006181845277378781,0.0006183150320353844
0.0022680286460897885,0.0006424671556009238,0.0006426081163921067
0.0023571376089457467,0.0006677034007593153,0.0006678556558679616
0.002449747588984606,0.0006939306958311739,0.000694095150212305
0.0025459961382653484,0.0007211879413893943,0.0007213655725085154
0.002646026213153176,0.0007495155634165312,0.0007497074270600665
0.00274998638665022,0.0007789555730000272,0.0007791628095508956
0.002858031069068532,0.0008095516283531672,0.0008097754695694174
0.002970320737373157,0.0008413490992517716,0.0008415908755890611
0.0030870221735358806,0.0008743951339824148,0.0008746562825018328
0.003208308712253716,0.0009087387288947394,0.0009090208018052195
0.003334360498400048,0.0009444308006612426,0.0009447354745466802
0.0034653647545907977,0.0009815242613487416,0.0009818533471340593
0.0036015160592630592,0.0010200740964092351,0.0010204295501245334
0.0037430166356791977,0.0010601374456993755,0.001060521380109106
0.0038900766522856935,0.0011017736876531463,0.0011021883848142799
0.00404291453487284,0.0011450445267197416,0.0011454924515473047
0.004201757290998918,0.0011900140841957433,0.0011904978991163601
0.004366840847160741,0.0012367489925832963,0.00123727157336221
0.004538410399211335,0.001285318493606761,0.0012858829464432115
0.004716720776545258,0.0013357945400289636,0.0013364042200211565
0.004902036820592464,0.0013882519014094747,0.0013889104325011982
0.005094633778182841,0.0014427682739616755,0.0014434795704851384
0.005294797710365754,0.0014994243946578121,0.00150019268460363
0.00550282591729173,0.0015583041597461655,0.0015591340098993233
0.0057190273797874305,0.0016194947478505764,0.0016203910909397719
0.005943723218279725,0.0016830867478221877,0.001684054911845922
0.006177247169750494,0.0017491742915278885,0.0017502200314293067
0.006419946083430615,0.0018178551917571882,0.0018189847236386742
0.006672180435969319,0.0018892310854440543,0.0018904511235246402
0.006934324866844159,0.001963407582406293,0.0019647253789391783
0.007206768734806797,0.002040494419804265,0.002041917808195259
0.007489916696191037,0.0021206056225396464,0.002122143063920794
0.007784189305942152,0.0022038596698136697,0.002205520303350276
0.008090023642260101,0.0022903796680783586,0.0022921733653070288
0.00840787395578451,0.0023802935306150136,0.0023822309541389444
0.00873821234428559,0.0024737341639948984,0.002475826830880917
0.009081529453863047,0.00257083966166685,0.0025731000119278633
0.00943833520769459,0.00267175350495081,0.002674194975513467
0.009809159563416273,0.002776624771696379,0.0027792618763012775
0.010194553300259765,0.0028856083529034465,0.0028884567684069333
0.010595088837115579,0.0029988651775871467,0.0030019418371827473
0.011011361082737278,0.003116562446195391,0.0031198856401088953
0.0114439883193495,0.0032388738728953807,0.003242463357149025
0.011893613120972295,0.0033659799370429145,0.00336985705094215
0.012360903307825575,0.0034980681441821714,0.003502255937217246
0.012846552938231311,0.0036353332969086805,0.003639856665832205
0.013351283339486864,0.0037779777759622477,0.0037828636128546113
0.013875844179240303,0.003926211831911114,0.003931489184118086
0.014421014578959338,0.004080253887814915,0.004085954130705146
0.014987604271147419,0.004240330853247631,0.004246487876825101
0.015576454802025857,0.004406678450100854,0.0044133288605739925
0.01618844078146852,0.004579541550566346,0.0045867248880827475
0.016824471182045154,0.004759174527740686,0.00476693350157946
0.01748549068910329,0.0049458416192928786,0.004954222361912599
0.018172481103893613,0.00513981730464219,0.00514886964610319
0.018886462801822906,0.0053413866961270935,0.00535116446051649
0.01962849624800077,0.005550845944638652,0.005561407270266885
0.020399683572330615,0.005768502660219264,0.0057799103454936746
0.02120117020648495,0.005994676348135274,0.006006998225170736
0.022034146585195903,0.0062296988609464934,0.006243008199138839
0.022899849914387996,0.006473914867110418,0.006488290809076599
0.023799566008779645,0.006727682336672893,0.006743210369154233
0.024734631201682115,0.006991373044607695,0.007008145507143266
0.02570643432983329,0.007265373092385637,0.007283489726786098
0.026716418796213625,0.007550083448366911,0.0075696519922605265
0.02776608471390847,0.007845920507613785,0.0078670573356074
0.02885699113420118,0.00815331667175422,0.008176147488023668
0.029990758362205786,0.008472720949513672,0.008497381535958306
0.031169070363479347,0.008804599578570157,0.008831236602985815
0.03239367726518784,0.009149436669376865,0.009178208558469887
0.03366639795554073,0.009507734871626141,0.009538812754069873
0.03498912278535556,0.00988001606402334,0.009913584789184075
0.036363816375764205,0.010266822068061515,0.010303081306466524
0.03779252053623211,0.01066871538648687,0.010707880818599098
0.039277357297223765,0.011086279967155865,0.011128584567546734
0.04082053206201902,0.011520121992991997,0.011565817417572056
0.042424336882362114,0.011970870698750543,0.012020228783335932
0.04409115386280753,0.012439179215304316,0.012492493594462133
0.04582345869882049,0.012925725442169531,0.012983313297999139
0.047623824353886034,0.013431212948974381,0.013493416900267709
0.0494949248810886,0.013956371906585824,0.01402356204964177
0.051439539394838835,0.01450196004859713,0.014574536161871003
0.05346055619864549,0.015068763663859076,0.015147157589616222
0.055560977075064785,0.015657598620740627,0.015742276837935023
0.057743921744197874,0.016269311423780006,0.01636077782752273
0.06001263249735888,0.016904780303360616,0.017003579207585016
0.062370479012796534,0.01756491633903437,0.01767163572029235
0.0648209633606206,0.018250664617067303,0.018365939618842503
0.06736772520436864,0.01896300542275924,0.01908752214123778
0.0700145472069374,0.019702955468041523,0.019837455041965595
0.07276536064890868,0.020471569154804522,0.02061685218385746
0.0756242512676154,0.021269939874353064,0.02142687119249103
0.07859546532561847,0.022099201343319157,0.022268715175591897
0.08168341591761026,0.022960528976293144,0.023143634509989575
0.08489268952511045,0.023855141295341952,0.024052928698781294
0.08822805282869017,0.02478430137649045,0.024997948301462215
