deep_capacity,coupling,single_frequency_objective,multi_frequency_objective
72.16717546983993,0.015,205.01772323134998,983.5349404686448
73.66984629153856,0.015,205.01768953285705,983.5469964204759
75.20380584781329,0.015,205.0176612307594,983.5588183796399
76.76970563525093,0.015,205.01763802490882,983.570410623202
78.36821071595338,0.015,205.01761962895117,983.5817773618506
80.0,0.015,205.01760576973047,983.5929227403574
2.0,0.01541567072005409,210.47642036308793,976.547673341729
2.041644163344778,0.01541567072005409,210.23088960280242,976.3191795284527
2.084155444859899,0.01541567072005409,209.9928962062949,976.1001086073989
2.127551899750726,0.01541567072005409,209.76229737358585,975.8903493787941
2.1718519591695817,0.01541567072005409,209.538946648627,975.6897850108622
2.2170744380437486,0.01541567072005409,209.32269448601136,975.4982931741761
2.2632385430664614,0.01541567072005409,209.11338878934964,975.3157461901457
2.3103638808542897,0.01541567072005409,208.91087542094584,975.1420111935372
2.358470466274375,0.01541567072005409,208.71499868260167,974.9769503088518
2.407578730945058,0.01541567072005409,208.52560176761423,974.8204208402724
2.457709531913502,0.01541567072005409,208.34252718418998,974.6722754748432
2.5088841605140138,0.01541567072005409,208.16561715063037,974.5323624984037
2.5611243514107995,0.01541567072005409,207.99471396284582,974.4005260237378
2.6144522918290196,0.01541567072005409,207.82966033481006,974.2766062302977
2.6688906309780474,0.01541567072005409,207.67029971270532,974.1604396147761
2.724462489670946,0.01541567072005409,207.51647656358753,974.0518592516955
2.781191470144235,0.01541567072005409,207.36803663945668,973.9506950631256
2.8391016660821293,0.01541567072005409,207.22482721769717,973.8567740965416
2.898217672849507,0.01541567072005409,207.08669731887562,973.7699208097765
2.95856459793794,0.01541567072005409,206.9534979029172,973.6899573619532
3.0201680716292425,0.01541567072005409,206.82508204471756,973.6167039092304
3.0830542578810483,0.01541567072005409,206.7013050902366,973.5499789041497
3.1472498654390537,0.01541567072005409,206.5820247941389,973.4895993973396
3.212782159180641,0.01541567072005409,206.46710144002728,973.4353813403137
3.279678971694694,0.01541567072005409,206.35639794431583,973.3871398880781
3.347968715102538,0.01541567072005409,206.24977994476637,973.3446897002813
3.4176803931250057,0.01541567072005409,206.1471158746803,973.307845239632
3.488843613400777,0.01541567072005409,206.04827702373376,973.2764210663613
3.561488600061201,0.01541567072005409,205.95313758638548,973.250232127509
3.6356462065669573,0.01541567072005409,205.8615746987878,973.2290940398982
3.7113479288120055,0.01541567072005409,205.7734684650561,973.2128233656794
3.7886259185003808,0.01541567072005409,205.68870197375915,973.2012378794211
3.8675129968015254,0.01541567072005409,205.60716130542025,973.1941568257953
3.9480426682899523,0.01541567072005409,205.52873553179757,973.1914011669559
4.030249135175162,0.01541567072005409,205.45331670768252,973.192793818843
4.114167311827854,0.01541567072005409,205.3807998558818,973.1981598756961
4.199832839608606,0.01541567072005409,205.31108294606523,973.2073268221731
4.287282102005317,0.01541567072005409,205.2440668680636,973.2201247325743
4.376552240085843,0.01541567072005409,205.1796554002126,973.2363864567438
4.467681168272388,0.01541567072005409,205.1177551732803,973.2559477923487
4.560707590444349,0.01541567072005409,205.05827563047492,973.2786476433047
4.655671016376465,0.01541567072005409,205.00112898401895,973.3043281642324
4.75261177851923,0.01541567072005409,204.94623016871634,973.3328348908972
4.851571049128716,0.01541567072005409,204.89349679293306,973.3640168566944
4.95259085775307,0.01541567072005409,204.8428490873569,973.3977266952982
5.055714109083132,0.01541567072005409,204.79420985190424,973.4338207296923
5.16098460117471,0.01541567072005409,204.74750440107096,973.4721590478434
5.268447044050311,0.01541567072005409,204.70266050805088,973.5126055653702
5.378147078688183,0.01541567072005409,204.6596083478782,973.5550280755871
5.490131296406748,0.01541567072005409,204.61828043984255,973.5992982873812
