frequency,model,amplitude,phase_radians
0.02772590759860484,one effective reservoir,0.9851628264115649,-0.1724761417654663
0.028307649369732003,one effective reservoir,0.9845481795830272,-0.17602146646665529
0.0289015971790951,one effective reservoir,0.983908692336826,-0.1796365710859291
0.02950800713236989,one effective reservoir,0.9832434129523882,-0.1833226363105332
0.03012714070881166,one effective reservoir,0.9825513576030674,-0.18708085072036182
0.030759264874003035,one effective reservoir,0.9818315096402865,-0.19091241000641143
0.03140465219496752,one effective reservoir,0.9810828188947541,-0.19481851612578868
0.032063580957698186,one effective reservoir,0.980304200998578,-0.19880037639024867
0.03273633528715246,one effective reservoir,0.9794945367324079,-0.2028592024851873
0.03342320526976466,one effective reservoir,0.9786526714020743,-0.20699620941596863
0.034124487078528914,one effective reservoir,0.9777774142495316,-0.21121261437843283
0.0348404831007067,one effective reservoir,0.9768675379032655,-0.21550963555041297
0.03557150206821386,one effective reservoir,0.9759217778737037,-0.2198884908010803
0.03631785919074348,one effective reservoir,0.9749388320995369,-0.22435039631494655
0.037079876291681725,one effective reservoir,0.9739173605512549,-0.22889656512737713
0.03785788194687566,one effective reservoir,0.9728559848985985,-0.23352820556851708
0.03865221162631264,one effective reservoir,0.9717532882490302,-0.2382465196125981
0.039463207838772246,one effective reservoir,0.9706078149647375,-0.2430527011296825
0.0402912202795135,one effective reservoir,0.9694180705660859,-0.24794793403702567
0.04113660598106068,one effective reservoir,0.9681825217298524,-0.25293339034737594
0.04199972946715306,one effective reservoir,0.9668995963909662,-0.25801022811171515
0.042880962909924596,one effective reservoir,0.9655676839568711,-0.2631795892541499
0.04378068629038169,one effective reservoir,0.9641851356440075,-0.2684425972969162
0.044699287562248134,one effective reservoir,0.9627502649462595,-0.2738003549737433
0.04563716281924761,one effective reservoir,0.9612613482455444,-0.27925394173015405
0.046594716465896295,one effective reservoir,0.9597166255750269,-0.28480441110965427
0.0475723613918789,one effective reservoir,0.9581143015456813,-0.2904527880251813
0.048570519150083584,one effective reservoir,0.9564525464471602,-0.29620006591565806
0.04958962013837217,one effective reservoir,0.954729497534063,-0.30204720378801586
0.05063010378516437,one effective reservoir,0.9529432605088082,-0.3079951231456329
0.05169241873891601,one effective reservoir,0.9510919112123231,-0.3140447048047654
0.05277702306157263,one effective reservoir,0.9491734975337124,-0.32019678560123743
0.05388438442608224,one effective reservoir,0.9471860415499087,-0.3264521549904109
0.055014980318052395,one effective reservoir,0.9451275419060523,-0.33281155154426195
0.0561692982416381,one effective reservoir,0.9429959764469845,-0.3392756593502577
0.0573478359297499,one effective reservoir,0.9407893051097342,-0.34584510431766013
0.05855110155867241,one effective reservoir,0.938505473086264,-0.352520450397862
0.05977961396718608,one effective reservoir,0.9361424142649541,-0.35930219572640726
0.06103390288028624,one effective reservoir,0.9336980549583859,-0.36619076869543304
0.062314509137596556,one effective reservoir,0.9311703179238835,-0.3731865239664221
0.06362198492657489,one effective reservoir,0.9285571266820088,-0.38028973843432956
0.06495689402061207,one effective reservoir,0.9258564101367588,-0.38750060715537515
0.06631981202212675,one effective reservoir,0.9230661074995653,-0.39481923925204426
0.0677113266107606,one effective reservoir,0.9201841735173876,-0.40224565381011007
0.06913203779678131,one effective reservoir,0.9172085840031445,-0.4097797757837754
0.07058255817980222,one effective reservoir,0.9141373416645321,-0.4174214319263132
0.07206351321293053,one effective reservoir,0.9109684822248504,-0.4251703467648559
0.07357554147245796,one effective reservoir,0.9077000808268737,-0.43302613863922335
0.07511929493320968,one effective reservoir,0.9043302587080264,-0.44098831582587517
0.07669543924967091,one effective reservoir,0.9008571901321804,-0.44905627276921595
0.07830465404301187,one effective reservoir,0.8972791095603133,-0.45722928644353533
0.07994763319413531,one effective reservoir,0.8935943190390526,-0.4655065128698318
0.08162508514287233,one effective reservoir,0.8898011957828043,-0.4738869838126097
0.08333773319345623,one effective reservoir,0.8858981999217993,-0.48236960368245363
0.08508631582640581,one effective reservoir,0.8818838823849422,-0.4909531466707295
0.08687158701695218,one effective reservoir,0.8777568928829369,-0.49963625414313284
0.08869431656014713,one effective reservoir,0.8735159879537752,-0.5084174323189857
0.09055529040279275,one effective reservoir,0.8691600390293815,-0.5172950502631244
0.09245531098233575,one effective reservoir,0.8646880404790543,-0.5262673382169545
0.0943951975728719,one effective reservoir,0.8600991175823809,-0.5353323862946919
0.09637578663841088,one effective reservoir,0.8553925343815909,-0.5444881435700267
0.09839793219355317,one effective reservoir,0.8505677013609046,-0.5537324175773366
0.10046250617173413,one effective reservoir,0.8456241828983807,-0.5630628742502125
0.10257039880119521,one effective reservoir,0.8405617044341402,-0.5724770383183801
0.10472251898884355,one effective reservoir,0.8353801592976897,-0.5819722941821238
0.10691979471216498,one effective reservoir,0.8300796151364237,-0.5915458872810457
0.10916317341936148,one effective reservoir,0.8246603198873369,-0.6011949259714421
0.11145362243788304,one effective reservoir,0.8191227072345195,-0.6109163839237147
0.11379212939153151,one effective reservoir,0.8134674014962152,-0.6207071030481508
0.11617970262631687,one effective reservoir,0.8076952218870886,-0.6305637969540485
0.11861737164524792,one effective reservoir,0.8018071861039229,-0.640483054943599
0.12110618755224559,one effective reservoir,0.795804513186224,-0.6504613465381959
0.12364722350537151,one effective reservoir,0.7896886256071618,-0.6604950265309556
0.126241575179565,one effective reservoir,0.7834611505549128,-0.6705803405552152
0.12889036123908928,one effective reservoir,0.7771239203697403,-0.6807134311547269
0.13159472381989168,one effective reservoir,0.7706789721080128,-0.6908903443371937
0.13435582902208262,one effective reservoir,0.7641285462108036,-0.7011070365887244
0.13717486741275006,one effective reservoir,0.7574750842615908,-0.7113593823228712
0.14005305453932212,one effective reservoir,0.7507212258248989,-0.7216431817340521
0.14299163145370145,one effective reservoir,0.7438698043653236,-0.7319541690215704
0.14599186524739785,one effective reservoir,0.7369238422542058,-0.7422880209470489
0.14905504959788807,one effective reservoir,0.7298865448791735,-0.7526403656849964
0.1521825053264387,one effective reservoir,0.7227612938796927,-0.7630067919234804
